Jaka cywilizacja wybudowała piramidy:.,Mezopotamia.,Grecja.,Egipt x
Jak określano władce starożytnego Egiptu:.,Carem.,Sułtanem.,Faraonem x
Na terenach jakiego państwa współcześnie znajdują się tereny Sparty: .,Turcji.,Grecji.,Bułgarii
Kto napisał Illiadę i Odyseje:.,Arystoteles.,Homer x.,Platon
"Jak nazywał się Król Macedonii, który podbił.",Aleksander III Macedoński x.,Filip II.,Filip III
Jak zginął Achilles: .,Od odcięcia głowy mieczem.,Od strzały w oko .,Od strzały w pięcie x
Kto był jednym z największych filozofów starożytnej Grecji:.,Arystoteles x.,Homer .,Parys
"Jak nazywało się miasto, które było stolica Mezopotamii: .",Ateny.,Persepolis.,Babilon x
Jakie 2 rzeki leżały na terenach mezopotamii.,Eufrat i tygrys x.,Nil i sindhu .,Jangcy i żółta rzeka
Który Rzym przetrwał czasy starożytne: .,Rzym północny.,Rzym zachodni .,Rzym wschodni x
Która z wymienionych postaci była dyktatorem Rzymu:.,Romulus.,Juliusz Cezar x.,Poncjusz Piłat
Przez kogo zostało założone miasto Rzym:.,Romulus x.,Juliusz Cezar.,Kaligula
Czyich ziem nie zdobył Rzym: .,Grecji.,Irlandii x.,Egiptu
W którym roku powstał Rzym: .,842 pne.,753 p.n.e. x  .,256 p.n.e.
Jaka ważna powstała w czasach Rzymu:.,Judaizm.,Islam.,Chrześcijaństwo x
W którym roku urodził się Jezus Chrystus: .,10 - 1 rok przed naszą erą x.,0 rok .,1 - 10 rok naszej ery
Jak nazywał się kartagiński wódz z okresu drugiej wojny punickiej: .,Haniball x.,Hamilkar II .,Himilkon I
Która z klas społecznym była najbogatsza:.,Wyzwoleńcy.,Plebejusze.,Patrycjusze x
W którym roku odbył sie chrzest Polski: .,1025,966 x.,895
Jaka religia powstała na początku średniowiecza:.,Buddyzm.,Islam x .,Judaizm
Jak nazywał sie lud zamieszkujacy skandywanie: .,Arabowie.,Mongołowie.,Wikingowie x
Kto był pierwszym Królem Poski: .,Bolesław Chrobry x.,Mieszko I .,Kazimierz Odnowiciel
Gdzie odbywały sie największe krucjaty: .,Do ziemi świętej x.,Do Indii .,Do Skandynawii
Jaki lud najechał Europe ze wschodu w XII wieku:.,Wikingowie.,Mongołowie x .,Rusini
Który król Polski doprowadził do rozbicia dzielnicowego: .,Władysław Łokietek.,Bolesałw Krzywousty x.,Bolesław Śmiały
Jaka dynastia Panowała na Rusi od XI wieku:.,Rurykowiczów x .,Chmielnickich.,Romanowów
Jak nazywała się seria konfliktów pomiędzy Anglia i Francją: .,Wojna 100 letnia x.,Wojna 30 letnia .,Wojna 5 letnia
